央视频道,#genre#
成都影视文艺,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CDTV-4.m3u8?$720x576
成都公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CDTV-5.m3u8?$720x576
成都每日购物,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/mrgw.m3u8?$1920x1080
成都高新区电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/cdgxdstgq.m3u8?$1920x1080
大邑新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dyytH265.m3u8?$1920x1080
龙泉新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lqxw.m3u8?$720x576
都江堰综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/djyzh.m3u8?$720x576
彭州综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pzxwzh.m3u8?$1920x1080
青白江综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qbjxwzh.m3u8?$1920x1080
邛崃综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qlds1t.m3u8?$1920x1080
金堂电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jtzhpd.m3u8?$1920x1080
新都综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xdzhpd.m3u8?$1920x1080
新津电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xjzh.m3u8?$1920x1080
蒲江电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pjxw.m3u8?$1920x1080
郫都新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pxds1.m3u8?$1920x1080
金牛电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jnyx.m3u8?$720x576
崇州一套,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/czyt.m3u8?$1920x1080
简阳新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jyxwzh.m3u8?$720x576
双流综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/slgq.m3u8?$720x576
温江新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/wjytH264.m3u8?$1920x1080
绵阳新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/myytH265.m3u8?$1920x1080
绵阳科技,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/myetH265.m3u8?$1920x1080
安州综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/azgq.m3u8?$1920x1080
盐亭综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ytzh.m3u8?$1920x1080
三台一套,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/stxwHD.m3u8?$1920x1080
江油综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jyxwHD.m3u8?$720x576
梓潼综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ztgq.m3u8?$1920x1080
平武综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pwgq.m3u8?$1920x1080
北川综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/bcxwHD.m3u8?$1920x1080
涪城综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/fcgq.m3u8?$1920x1080
