央视,#genre#
求索科学,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226116/index.m3u8?servicetype=1
求索动物,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226118/index.m3u8?servicetype=1
东方财经,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226327/index.m3u8?servicetype=1
东方财经,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226583/index.m3u8?servicetype=1
纪实人文,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226355/index.m3u8?servicetype=1
纪实人文,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226559/index.m3u8?servicetype=1
生活时尚,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226330/index.m3u8?servicetype=1
生活时尚,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226570/index.m3u8?servicetype=1
法治天地,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226340/index.m3u8?servicetype=1
法治天地,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226655/index.m3u8?servicetype=1
金色学堂,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226332/index.m3u8?servicetype=1
金色学堂,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226545/index.m3u8?servicetype=1
都市剧场,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226324/index.m3u8?servicetype=1
都市剧场,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226694/index.m3u8?servicetype=1
欢笑剧场,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226323/index.m3u8?servicetype=1
欢笑剧场,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226704/index.m3u8?servicetype=1
动漫秀场,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226325/index.m3u8?servicetype=1
动漫秀场,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226608/index.m3u8?servicetype=1
魅力足球,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226337/index.m3u8?servicetype=1
魅力足球,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226558/index.m3u8?servicetype=1
精彩戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226357/index.m3u8?servicetype=1
精彩戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226491/index.m3u8?servicetype=1
精彩戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226529/index.m3u8?servicetype=1
精彩戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226567/index.m3u8?servicetype=1
精彩戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226716/index.m3u8?servicetype=1
移动戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226436/index.m3u8?servicetype=1
移动戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226628/index.m3u8?servicetype=1
戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226438/index.m3u8?servicetype=1
戏曲,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226561/index.m3u8?servicetype=1
