🇨🇳 央视,#genre#
长武综合,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225984/index.m3u8
铜川新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225661/index.m3u8
铜川新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225820/index.m3u8
铜川新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225821/index.m3u8
耀州综合,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225884/index.m3u8
渭南新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225660/index.m3u8
渭南新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225818/index.m3u8
渭南新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225819/index.m3u8
华州综合,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225955/index.m3u8
华州二套,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225956/index.m3u8
澄城新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225961/index.m3u8
澄城新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226061/index.m3u8
澄城公共,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225962/index.m3u8
大荔新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225912/index.m3u8
美丽大荔,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225959/index.m3u8
大荔影视,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225960/index.m3u8
合阳综合,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225858/index.m3u8
合阳二套,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225859/index.m3u8
合阳三套,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225860/index.m3u8
蒲城综合,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225913/index.m3u8
蒲城二套,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225963/index.m3u8
白水综合,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225914/index.m3u8
白水二套,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225964/index.m3u8
潼关新闻,http://120.204.20.48/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225915/index.m3u8
